Wallet address,Custom mint limit (optional),Custom price in native token e.g. ETH (optional)
0x6acaa9db7b98a7d0b2b92f9cdba2e98baa26a94f,1,0
0xcccbbf3a57e4751b145fceef6360c29f4c167dab,1,0
0x38297e21d084ffdb93cb260162f12b510ce723c6,1,0
0x5d57cde67f1bcdb15b65eae5c69ce48e8f26c102,1,0
0xe198c70d63b822f48043d0a405dda83d1f762cd9,1,0
0xb04d4c55c35d9c5529462aec80c33cfd0df69f05,1,0
0xee696d43d24e6c5eb6eb447058732bebd36b8a72,1,0
0x1bd6993462d0a2b7a7ce1f7e75f789c65b6b9ed6,1,0
0x1d3dfa884db03a06a79f5c83834fe65f7ddd10bf,1,0
0x1bf14b140e98b5168c4758a995be98bb8efea121,1,0
0xf928fb805f2c0f0d49701fa4026ae9c7334008ef,1,0
0x5de156d91a1802f54d4c367fc778d2e339e1b325,1,0
0xf4addab2c8dbc6b66a663e4d49374a1c104e53f0,1,0
0x45883c82222fb0ba5bcefd804ccc455f122e81a3,1,0
0x2333c0f3d45fb00162d63aef9fd24ba4fd9c1be9,1,0
0x47022a77b74532c58b322e16210c544117b55ce3,1,0
0xd7306e6fb9ce233716ffd748586650acd5c8926d,1,0
0xf82a39d57e0c12e758bff208814a56ed739d4bdf,1,0
0xe513b7fc3cf26d75224042a8b9b89380f7f37d96,1,0
0x2baf4ab0f1b2953967aea834fb1b05be2d2a4c2a,1,0
0x3abd8617c404414277df5f5e0042ee4209ba2773,1,0
0x2ed7ef6fa65cdac11c9abdaf14859590a5c6dd8b,1,0
0x8ed82972d1dd8b22b7136800111867a2eb9866e3,1,0
0x21894eb073ef484e86c8caf0a166f8caa86eedf7,1,0
0xa00a41102d1a5e77ecbcf89f44c6e31850067856,1,0
0xf98b38602db68d5758af695ee71c691215f04186,1,0
0xe4c3a328834275bd24bcdf7356cdbbf536d6f867,1,0
0xfb0857e91ca6ac98feb8748bfd4532e785d8fa64,1,0
0xe7586b7a15af3a2ffa63a8dd997192ccaa19b5a4,1,0
0xd67ae74717504e6f62b67e22bd57f1d38086270e,1,0
0x209a51363c9ab9725717e2c402419239183e9d8e,1,0
